year,category,firstname,surname,gender,birthyear
1937,chemistry,Walter Norman,Haworth,male,1883
1937,chemistry,Paul,Karrer,male,1889
1938,chemistry,Richard,Kuhn,male,1900
1939,chemistry,Adolf Friedrich Johann,Butenandt,male,1903
1939,chemistry,Leopold,Ruzicka,male,1887
1943,chemistry,George,de Hevesy,male,1885
1944,chemistry,Otto,Hahn,male,1879
1945,chemistry,Artturi Ilmari,Virtanen,male,1895
1946,chemistry,James Batcheller,Sumner,male,1887
1946,chemistry,John Howard,Northrop,male,1891
1946,chemistry,Wendell Meredith,Stanley,male,1904
1947,chemistry,Sir Robert,Robinson,male,1886
1948,chemistry,Arne Wilhelm Kaurin,Tiselius,male,1902
1949,chemistry,William Francis,Giauque,male,1895
1950,chemistry,Otto Paul Hermann,Diels,male,1876
1950,chemistry,Kurt,Alder,male,1902
1951,chemistry,Edwin Mattison,McMillan,male,1907
1951,chemistry,Glenn Theodore,Seaborg,male,1912
1952,chemistry,Archer John Porter,Martin,male,1910
1952,chemistry,Richard Laurence Millington,Synge,male,1914
1953,chemistry,Hermann,Staudinger,male,1881
1954,chemistry,Linus Carl,Pauling,male,1901
1962,peace,Linus Carl,Pauling,male,1901
1955,chemistry,Vincent,du Vigneaud,male,1901
1956,chemistry,Sir Cyril Norman,Hinshelwood,male,1897
1956,chemistry,Nikolay Nikolaevich,Semenov,male,1896
1957,chemistry,Lord (Alexander R.),Todd,male,1907
1958,chemistry,Frederick,Sanger,male,1918
1980,chemistry,Frederick,Sanger,male,1918
1959,chemistry,Jaroslav,Heyrovsky,male,1890
1960,chemistry,Willard Frank,Libby,male,1908
1961,chemistry,Melvin,Calvin,male,1911
1962,chemistry,Max Ferdinand,Perutz,male,1914
1962,chemistry,John Cowdery,Kendrew,male,1917
1963,chemistry,Karl,Ziegler,male,1898
1963,chemistry,Giulio,Natta,male,1903
1964,chemistry,Dorothy Crowfoot,Hodgkin,female,1910
1965,chemistry,Robert Burns,Woodward,male,1917
1966,chemistry,Robert S.,Mulliken,male,1896
1967,chemistry,Manfred,Eigen,male,1927
1967,chemistry,Ronald George Wreyford,Norrish,male,1897
1967,chemistry,George,Porter,male,1920
1968,chemistry,Lars,Onsager,male,1903
1969,chemistry,Derek H. R.,Barton,male,1918
1969,chemistry,Odd,Hassel,male,1897
1970,chemistry,Luis F.,Leloir,male,1906
1971,chemistry,Gerhard,Herzberg,male,1904
1972,chemistry,Christian B.,Anfinsen,male,1916
1972,chemistry,Stanford,Moore,male,1913
1972,chemistry,William H.,Stein,male,1911
1973,chemistry,Ernst Otto,Fischer,male,1918
1973,chemistry,Geoffrey,Wilkinson,male,1921
1974,chemistry,Paul J.,Flory,male,1910
1975,chemistry,John Warcup,Cornforth,male,1917
1975,chemistry,Vladimir,Prelog,male,1906
1976,chemistry,William N.,Lipscomb,male,1919
1977,chemistry,Ilya,Prigogine,male,1917
1978,chemistry,Peter D.,Mitchell,male,1920
1979,chemistry,Herbert C.,Brown,male,1912
1979,chemistry,Georg,Wittig,male,1897
1980,chemistry,Paul,Berg,male,1926
1980,chemistry,Walter,Gilbert,male,1932
1981,chemistry,Kenichi,Fukui,male,1918
1981,chemistry,Roald,Hoffmann,male,1937
1982,chemistry,Aaron,Klug,male,1926
1983,chemistry,Henry,Taube,male,1915
1984,chemistry,Robert Bruce,Merrifield,male,1921
1985,chemistry,Herbert A.,Hauptman,male,1917
1985,chemistry,Jerome,Karle,male,1918
1986,chemistry,Dudley R.,Herschbach,male,1932
1986,chemistry,Yuan T.,Lee,male,1936
1986,chemistry,John C.,Polanyi,male,1929
1987,chemistry,Donald J.,Cram,male,1919
1987,chemistry,Jean-Marie,Lehn,male,1939
1987,chemistry,Charles J.,Pedersen,male,1904
1988,chemistry,Johann,Deisenhofer,male,1943
1988,chemistry,Robert,Huber,male,1937
1988,chemistry,Hartmut,Michel,male,1948
1989,chemistry,Sidney,Altman,male,1939
1989,chemistry,Thomas R.,Cech,male,1947
1990,chemistry,Elias James,Corey,male,1928
1991,chemistry,Richard R.,Ernst,male,1933
1992,chemistry,Rudolph A.,Marcus,male,1923
1993,chemistry,Kary B.,Mullis,male,1944
1993,chemistry,Michael,Smith,male,1932
1994,chemistry,George A.,Olah,male,1927
1995,chemistry,Paul J.,Crutzen,male,1933
1995,chemistry,Mario J.,Molina,male,1943
1995,chemistry,F. Sherwood,Rowland,male,1927
1996,chemistry,Robert F.,Curl Jr.,male,1933
1996,chemistry,Sir Harold W.,Kroto,male,1939
1996,chemistry,Richard E.,Smalley,male,1943
1997,chemistry,Paul D.,Boyer,male,1918
1997,chemistry,John E.,Walker,male,1941
1997,chemistry,Jens C.,Skou,male,1918
1998,chemistry,Walter,Kohn,male,1923
1998,chemistry,John A.,Pople,male,1925
1999,chemistry,Ahmed H.,Zewail,male,1946
1901,medicine,Emil Adolf,von Behring,male,1854
1902,medicine,Ronald,Ross,male,1857
1903,medicine,Niels Ryberg,Finsen,male,1860
1904,medicine,Ivan Petrovich,Pavlov,male,1849
1905,medicine,Robert,Koch,male,1843
1906,medicine,Camillo,Golgi,male,1843
1906,medicine,Santiago,Ramón y Cajal,male,1852
1907,medicine,Charles Louis Alphonse,Laveran,male,1845
1908,medicine,Ilya Ilyich,Mechnikov,male,1845
1908,medicine,Paul,Ehrlich,male,1854
1909,medicine,Emil Theodor,Kocher,male,1841
1910,medicine,Albrecht,Kossel,male,1853
1911,medicine,Allvar,Gullstrand,male,1862
1912,medicine,Alexis,Carrel,male,1873
1913,medicine,Charles Robert,Richet,male,1850
1914,medicine,Robert,Bárány,male,1876
1919,medicine,Jules,Bordet,male,1870
1920,medicine,Schack August Steenberg,Krogh,male,1874
1922,medicine,Archibald Vivian,Hill,male,1886
1922,medicine,Otto Fritz,Meyerhof,male,1884
1923,medicine,Frederick Grant,Banting,male,1891
1923,medicine,John James Rickard,Macleod,male,1876
1924,medicine,Willem,Einthoven,male,1860
1926,medicine,Johannes Andreas Grib,Fibiger,male,1867
1927,medicine,Julius,Wagner-Jauregg,male,1857
1928,medicine,Charles Jules Henri,Nicolle,male,1866
1929,medicine,Christiaan,Eijkman,male,1858
1929,medicine,Sir Frederick Gowland,Hopkins,male,1861
1930,medicine,Karl,Landsteiner,male,1868
1931,medicine,Otto Heinrich,Warburg,male,1883
1932,medicine,Sir Charles Scott,Sherrington,male,1857
1932,medicine,Edgar Douglas,Adrian,male,1889
1933,medicine,Thomas Hunt,Morgan,male,1866
1934,medicine,George Hoyt,Whipple,male,1878
1934,medicine,George Richards,Minot,male,1885
1934,medicine,William Parry,Murphy,male,1892
1935,medicine,Hans,Spemann,male,1869
1936,medicine,Sir Henry Hallett,Dale,male,1875
1936,medicine,Otto,Loewi,male,1873
1937,medicine,Albert,von Szent-Györgyi Nagyrápolt,male,1893
1938,medicine,Corneille Jean François,Heymans,male,1892
1939,medicine,Gerhard,Domagk,male,1895
1943,medicine,Henrik Carl Peter,Dam,male,1895
1943,medicine,Edward Adelbert,Doisy,male,1893
1944,medicine,Joseph,Erlanger,male,1874
1944,medicine,Herbert Spencer,Gasser,male,1888
1945,medicine,Sir Alexander,Fleming,male,1881
1945,medicine,Ernst Boris,Chain,male,1906
1945,medicine,Sir Howard Walter,Florey,male,1898
1946,medicine,Hermann Joseph,Muller,male,1890
1947,medicine,Carl Ferdinand,Cori,male,1896
1947,medicine,Gerty Theresa,Cori née Radnitz,female,1896
1947,medicine,Bernardo Alberto,Houssay,male,1887
1948,medicine,Paul Hermann,Müller,male,1899
1949,medicine,Walter Rudolf,Hess,male,1881
1949,medicine,Antonio Caetano de Abreu Freire Egas,Moniz,male,1874
1950,medicine,Edward Calvin,Kendall,male,1886
1950,medicine,Tadeus,Reichstein,male,1897
1950,medicine,Philip Showalter,Hench,male,1896
